layer,L1,L2,L3,slope1,slope2,1280 acc,102400 acc,200000 test acc,neurons,avg. iteration time
2 conv + 1 fully,256,64,128,-2,1,0.28906,0.14844,0.0898438,448,0.042435256
2 conv + 1 fully,256,64,256,-2,2,0.42969,0.39844,0.925781,576,0.044734615
2 conv + 1 fully,256,64,512,-2,3,0.39844,0.96875,0.976562,832,0.042848718
2 conv + 1 fully,256,64,1024,-2,4,0.48438,0.96094,0.964844,1344,0.045424359
2 conv + 1 fully,256,128,2,-1,-6,0.10156,0.10156,0.136719,386,0.121453205
2 conv + 1 fully,256,128,4,-1,-5,0.10938,0.14062,0.0898438,388,0.054332692
2 conv + 1 fully,256,128,8,-1,-4,0.15625,0.07031,0.101562,392,0.054407051
2 conv + 1 fully,256,128,16,-1,-3,0.14062,0.14844,0.09375,400,0.054446154
2 conv + 1 fully,256,128,32,-1,-2,0.16406,0.07031,0.136719,416,0.054669872
2 conv + 1 fully,256,128,64,-1,-1,0.28906,0.09375,0.144531,448,0.111017949
2 conv + 1 fully,256,128,128,-1,0,0.26562,0.14062,0.0859375,512,0.055273718
2 conv + 1 fully,256,128,256,-1,1,0.36719,0.19531,0.1875,640,0.099917949
2 conv + 1 fully,256,128,512,-1,2,0.42188,0.9375,0.96875,896,0.056219231
2 conv + 1 fully,256,128,1024,-1,3,0.46094,0.99219,0.988281,1408,0.093312821
2 conv + 1 fully,256,256,2,0,-7,0.10156,0.10938,0.09375,514,0.084114744
2 conv + 1 fully,256,256,4,0,-6,0.10156,0.08594,0.132812,516,0.072542949
2 conv + 1 fully,256,256,8,0,-5,0.0625,0.14062,0.0898438,520,0.072764103
2 conv + 1 fully,256,256,16,0,-4,0.13281,0.11719,0.0859375,528,0.073151923
2 conv + 1 fully,256,256,32,0,-3,0.23438,0.14844,0.136719,544,0.073151923
2 conv + 1 fully,256,256,64,0,-2,0.36719,0.14844,0.0742188,576,0.076883974
2 conv + 1 fully,256,256,128,0,-1,0.3125,0.14062,0.0976562,640,0.073821154
2 conv + 1 fully,256,256,256,0,0,0.52344,0.1875,0.140625,768,0.078064103
2 conv + 1 fully,256,256,512,0,1,0.58594,0.91406,0.945312,1024,0.076691026
2 conv + 1 fully,256,256,1024,0,2,0.6875,0.98438,0.976562,1536,0.082912821
2 conv + 1 fully,256,512,2,1,-8,0.13281,0.10156,0.0859375,770,0.141089744
2 conv + 1 fully,256,512,4,1,-7,0.10156,0.125,0.0859375,772,0.138153846
2 conv + 1 fully,256,512,8,1,-6,0.10156,0.15625,0.109375,776,0.138224359
2 conv + 1 fully,256,512,16,1,-5,0.125,0.10938,0.136719,784,0.138185897
2 conv + 1 fully,256,512,32,1,-4,0.21875,0.08594,0.136719,800,0.138660256
2 conv + 1 fully,256,512,64,1,-3,0.39062,0.07031,0.148438,832,0.165339744
2 conv + 1 fully,256,512,128,1,-2,0.5,0.17969,0.128906,896,0.13924359
2 conv + 1 fully,256,512,256,1,-1,0.54688,0.16406,0.164062,1024,0.162948718
2 conv + 1 fully,256,512,512,1,0,0.51562,0.4375,0.578125,1280,0.153884615
2 conv + 1 fully,256,512,1024,1,1,0.71094,0.92188,0.984375,1792,0.202057692
2 conv + 1 fully,256,1024,2,2,-9,0.13281,0.08594,0.136719,1282,0.347448718
2 conv + 1 fully,256,1024,4,2,-8,0.0625,0.125,0.09375,1284,0.308916667
2 conv + 1 fully,256,1024,8,2,-7,0.0625,0.05469,0.0898438,1288,0.309608974
2 conv + 1 fully,256,1024,16,2,-6,0.08594,0.07031,0.0742188,1296,0.309775641
2 conv + 1 fully,256,1024,32,2,-5,0.09375,0.11719,0.0820312,1312,0.31000641
2 conv + 1 fully,256,1024,64,2,-4,0.03906,0.13281,0.113281,1344,0.235788462
2 conv + 1 fully,256,1024,128,2,-3,0.13281,0.10156,0.121094,1408,0.236487179
2 conv + 1 fully,256,1024,256,2,-2,0.08594,0.13281,0.132812,1536,0.239730769
2 conv + 1 fully,256,1024,512,2,-1,0.08594,0.10938,0.246094,1792,0.255532051
2 conv + 1 fully,256,1024,1024,2,0,0.14062,0.11719,0.960938,2304,0.26299359
2 conv + 1 fully,512,2,2,-8,0,0.11719,0.07031,0.132812,516,0.056538462
2 conv + 1 fully,512,2,4,-8,1,0.125,0.10938,0.0898438,518,0.056617949
2 conv + 1 fully,512,2,8,-8,2,0.05469,0.07031,0.0898438,522,0.056591667
2 conv + 1 fully,512,2,16,-8,3,0.14062,0.07812,0.121094,530,0.056639103
2 conv + 1 fully,512,2,32,-8,4,0.05469,0.08594,0.0859375,546,0.056914744
2 conv + 1 fully,512,2,64,-8,5,0.125,0.15625,0.132812,578,0.056617949
2 conv + 1 fully,512,2,128,-8,6,0.15625,0.09375,0.121094,642,0.056583974
2 conv + 1 fully,512,2,256,-8,7,0.08594,0.07812,0.09375,770,0.056678205
2 conv + 1 fully,512,2,512,-8,8,0.11719,0.11719,0.121094,1026,0.056702564
2 conv + 1 fully,512,2,1024,-8,9,0.14062,0.14844,0.136719,1538,0.056853846
2 conv + 1 fully,512,4,2,-7,-1,0.07812,0.10156,0.132812,518,0.056460897
2 conv + 1 fully,512,4,4,-7,0,0.13281,0.05469,0.0898438,520,0.056625
2 conv + 1 fully,512,4,8,-7,1,0.10938,0.07812,0.0859375,524,0.056544231
2 conv + 1 fully,512,4,16,-7,2,0.07812,0.21094,0.148438,532,0.056457692
2 conv + 1 fully,512,4,32,-7,3,0.11719,0.14062,0.0546875,548,0.056544231
2 conv + 1 fully,512,4,64,-7,4,0.08594,0.09375,0.09375,580,0.056497436
2 conv + 1 fully,512,4,128,-7,5,0.07812,0.125,0.0898438,644,0.056597436
2 conv + 1 fully,512,4,256,-7,6,0.14062,0.16406,0.136719,772,0.05679359
2 conv + 1 fully,512,4,512,-7,7,0.03906,0.14062,0.0898438,1028,0.056871154
2 conv + 1 fully,512,4,1024,-7,8,0.11719,0.07031,0.0898438,1540,0.056953205
2 conv + 1 fully,512,8,2,-6,-2,0.09375,0.10938,0.136719,522,0.057092949
2 conv + 1 fully,512,8,4,-6,-1,0.09375,0.13281,0.109375,524,0.057039744
2 conv + 1 fully,512,8,8,-6,0,0.14844,0.0625,0.0898438,528,0.057388462
2 conv + 1 fully,512,8,16,-6,1,0.13281,0.07031,0.109375,536,0.057062179
2 conv + 1 fully,512,8,32,-6,2,0.14062,0.09375,0.109375,552,0.057297436
2 conv + 1 fully,512,8,64,-6,3,0.14062,0.13281,0.140625,584,0.056923718
2 conv + 1 fully,512,8,128,-6,4,0.11719,0.16406,0.0898438,648,0.057141026
2 conv + 1 fully,512,8,256,-6,5,0.22656,0.10938,0.136719,776,0.057445513
2 conv + 1 fully,512,8,512,-6,6,0.16406,0.07812,0.0546875,1032,0.057362179
2 conv + 1 fully,512,8,1024,-6,7,0.11719,0.05469,0.0859375,1544,0.057586538
2 conv + 1 fully,512,16,2,-5,-3,0.10938,0.08594,0.101562,530,0.058855128
2 conv + 1 fully,512,16,4,-5,-2,0.125,0.0625,0.0898438,532,0.058908333
2 conv + 1 fully,512,16,8,-5,-1,0.19531,0.07812,0.101562,536,0.058852564
2 conv + 1 fully,512,16,16,-5,0,0.07031,0.11719,0.132812,544,0.058959615
2 conv + 1 fully,512,16,32,-5,1,0.0625,0.07812,0.0546875,560,0.059146154
2 conv + 1 fully,512,16,64,-5,2,0.07812,0.0625,0.0742188,592,0.058958333
2 conv + 1 fully,512,16,128,-5,3,0.125,0.09375,0.128906,656,0.059010897
2 conv + 1 fully,512,16,256,-5,4,0.0625,0.10938,0.0859375,784,0.059132692
2 conv + 1 fully,512,16,512,-5,5,0.1875,0.03906,0.121094,1040,0.05925
2 conv + 1 fully,512,16,1024,-5,6,0.15625,0.13281,0.0859375,1552,0.059596795
2 conv + 1 fully,512,32,2,-4,-4,0.07812,0.07031,0.0898438,546,0.06539359
2 conv + 1 fully,512,32,4,-4,-3,0.125,0.09375,0.132812,548,0.065362179
2 conv + 1 fully,512,32,8,-4,-2,0.14844,0.125,0.121094,552,0.065341667
2 conv + 1 fully,512,32,16,-4,-1,0.10938,0.13281,0.0859375,560,0.065437179
2 conv + 1 fully,512,32,32,-4,0,0.13281,0.17188,0.160156,576,0.065397436
2 conv + 1 fully,512,32,64,-4,1,0.125,0.11719,0.0976562,608,0.065658333
2 conv + 1 fully,512,32,128,-4,2,0.1875,0.85938,0.871094,672,0.065560256
2 conv + 1 fully,512,32,256,-4,3,0.17188,0.90625,0.933594,800,0.065621795
2 conv + 1 fully,512,32,512,-4,4,0.26562,0.86719,0.921875,1056,0.065851923
2 conv + 1 fully,512,32,1024,-4,5,0.27344,0.95312,0.96875,1568,0.066151282
2 conv + 1 fully,512,64,2,-3,-5,0.10156,0.07812,0.109375,578,0.076302564
2 conv + 1 fully,512,64,4,-3,-4,0.08594,0.10156,0.0859375,580,0.076128205
2 conv + 1 fully,512,64,8,-3,-3,0.11719,0.11719,0.0859375,584,0.076164103
2 conv + 1 fully,512,64,16,-3,-2,0.25,0.07812,0.136719,592,0.076157692
2 conv + 1 fully,512,64,32,-3,-1,0.20312,0.07812,0.0898438,608,0.076289103
2 conv + 1 fully,512,64,64,-3,0,0.14062,0.13281,0.125,640,0.076460256
2 conv + 1 fully,512,64,128,-3,1,0.19531,0.11719,0.113281,704,0.076700641
2 conv + 1 fully,512,64,256,-3,2,0.23438,0.92188,0.503906,832,0.076942308
2 conv + 1 fully,512,64,512,-3,3,0.33594,0.97656,0.984375,1088,0.077173718
2 conv + 1 fully,512,64,1024,-3,4,0.39062,0.95312,0.976562,1600,0.077771795
2 conv + 1 fully,512,128,2,-2,-6,0.10156,0.09375,0.0859375,642,0.097044872
2 conv + 1 fully,512,128,4,-2,-5,0.10156,0.11719,0.09375,644,0.097175641
2 conv + 1 fully,512,128,8,-2,-4,0.03906,0.17188,0.136719,648,0.097135897
2 conv + 1 fully,512,128,16,-2,-3,0.10938,0.07812,0.121094,656,0.097213462
2 conv + 1 fully,512,128,32,-2,-2,0.17969,0.07031,0.0976562,672,0.09766859
2 conv + 1 fully,512,128,64,-2,-1,0.20312,0.08594,0.117188,704,0.09793141
2 conv + 1 fully,512,128,128,-2,0,0.28906,0.09375,0.0976562,768,0.098030128
2 conv + 1 fully,512,128,256,-2,1,0.21875,0.85156,0.214844,896,0.098530128
2 conv + 1 fully,512,128,512,-2,2,0.41406,0.96875,0.984375,1152,0.099659615
2 conv + 1 fully,512,128,1024,-2,3,0.53125,0.94531,0.996094,1664,0.100596795
2 conv + 1 fully,512,256,2,-1,-7,0.10156,0.10156,0.109375,770,0.143307692
2 conv + 1 fully,512,256,4,-1,-6,0.10938,0.07812,0.136719,772,0.143525641
2 conv + 1 fully,512,256,8,-1,-5,0.10156,0.03906,0.109375,776,0.143634615
2 conv + 1 fully,512,256,16,-1,-4,0.13281,0.0625,0.136719,784,0.143788462
2 conv + 1 fully,512,256,32,-1,-3,0.25,0.125,0.109375,800,0.143698718
2 conv + 1 fully,512,256,64,-1,-2,0.26562,0.07812,0.140625,832,0.144410256
2 conv + 1 fully,512,256,128,-1,-1,0.39844,0.07812,0.105469,896,0.144615385
2 conv + 1 fully,512,256,256,-1,0,0.55469,0.15625,0.183594,1024,0.14624359
2 conv + 1 fully,512,256,512,-1,1,0.48438,0.95312,0.984375,1280,0.147923077
2 conv + 1 fully,512,256,1024,-1,2,0.60938,0.98438,0.992188,1792,0.150583333
2 conv + 1 fully,512,512,2,0,-8,0.10156,0.125,0.109375,1026,0.224576923
2 conv + 1 fully,512,512,4,0,-7,0.125,0.10156,0.132812,1028,0.218237179
2 conv + 1 fully,512,512,8,0,-6,0.10156,0.10938,0.0859375,1032,0.220307692
2 conv + 1 fully,512,512,16,0,-5,0.13281,0.07031,0.136719,1040,0.217698718
2 conv + 1 fully,512,512,32,0,-4,0.23438,0.08594,0.0546875,1056,0.220442308
2 conv + 1 fully,512,512,64,0,-3,0.35156,0.10938,0.101562,1088,0.212032051
2 conv + 1 fully,512,512,128,0,-2,0.42188,0.14062,0.117188,1152,0.210153846
2 conv + 1 fully,512,512,256,0,-1,0.49219,0.21094,0.160156,1280,0.211557692
2 conv + 1 fully,512,512,512,0,0,0.71094,0.89844,0.339844,1536,0.215532051
2 conv + 1 fully,512,512,1024,0,1,0.58594,0.95312,0.976562,2048,0.221301282
2 conv + 1 fully,512,1024,2,1,-9,0.10156,0.14844,0.109375,1538,0.553057692
2 conv + 1 fully,512,1024,4,1,-8,0.10156,0.08594,0.09375,1540,0.579365385
2 conv + 1 fully,512,1024,8,1,-7,0.13281,0.14844,0.136719,1544,0.60575
2 conv + 1 fully,512,1024,16,1,-6,0.04688,0.09375,0.0742188,1552,0.606679487
2 conv + 1 fully,512,1024,32,1,-5,0.15625,0.08594,0.136719,1568,0.608564103
2 conv + 1 fully,512,1024,64,1,-4,0.39062,0.09375,0.09375,1600,0.606487179
2 conv + 1 fully,512,1024,128,1,-3,0.57812,0.05469,0.144531,1664,0.608448718
2 conv + 1 fully,512,1024,256,1,-2,0.65625,0.20312,0.183594,1792,0.613185897
2 conv + 1 fully,512,1024,512,1,-1,0.58594,0.44531,0.234375,2048,0.621333333
2 conv + 1 fully,512,1024,1024,1,0,0.67969,0.97656,0.976562,2560,0.545775641
2 conv + 1 fully,1024,2,2,-9,0,0.10156,0.15625,0.132812,1028,0.109173077
2 conv + 1 fully,1024,2,4,-9,1,0.14062,0.11719,0.0859375,1030,0.107897436
2 conv + 1 fully,1024,2,8,-9,2,0.10938,0.09375,0.09375,1034,0.107596154
2 conv + 1 fully,1024,2,16,-9,3,0.14062,0.125,0.136719,1042,0.107730769
2 conv + 1 fully,1024,2,32,-9,4,0.10156,0.10938,0.09375,1058,0.107724359
2 conv + 1 fully,1024,2,64,-9,5,0.0625,0.08594,0.109375,1090,0.109666667
2 conv + 1 fully,1024,2,128,-9,6,0.15625,0.10938,0.09375,1154,0.107967949
2 conv + 1 fully,1024,2,256,-9,7,0.125,0.10156,0.09375,1282,0.109865385
2 conv + 1 fully,1024,2,512,-9,8,0.10156,0.10156,0.0898438,1538,0.107948718
2 conv + 1 fully,1024,2,1024,-9,9,0.08594,0.09375,0.136719,2050,0.109942308
2 conv + 1 fully,1024,4,2,-8,-1,0.10938,0.07031,0.101562,1030,0.109051282
2 conv + 1 fully,1024,4,4,-8,0,0.11719,0.10938,0.101562,1032,0.107288462
2 conv + 1 fully,1024,4,8,-8,1,0.07031,0.07812,0.0898438,1036,0.107282051
2 conv + 1 fully,1024,4,16,-8,2,0.125,0.07031,0.140625,1044,0.107064103
2 conv + 1 fully,1024,4,32,-8,3,0.25781,0.15625,0.09375,1060,0.107096154
2 conv + 1 fully,1024,4,64,-8,4,0.08594,0.07031,0.136719,1092,0.109012821
2 conv + 1 fully,1024,4,128,-8,5,0.22656,0.11719,0.0742188,1156,0.107352564
2 conv + 1 fully,1024,4,256,-8,6,0.16406,0.08594,0.125,1284,0.109179487
2 conv + 1 fully,1024,4,512,-8,7,0.22656,0.03906,0.101562,1540,0.10775
2 conv + 1 fully,1024,4,1024,-8,8,0.22656,0.07812,0.109375,2052,0.109570513
2 conv + 1 fully,1024,8,2,-7,-2,0.10938,0.0625,0.0898438,1034,0.110032051
2 conv + 1 fully,1024,8,4,-7,-1,0.03125,0.11719,0.136719,1036,0.108339744
2 conv + 1 fully,1024,8,8,-7,0,0.14844,0.14062,0.09375,1040,0.108301282
2 conv + 1 fully,1024,8,16,-7,1,0.15625,0.03125,0.136719,1048,0.108346154
2 conv + 1 fully,1024,8,32,-7,2,0.07812,0.17188,0.140625,1064,0.108275641
2 conv + 1 fully,1024,8,64,-7,3,0.14844,0.09375,0.09375,1096,0.110237179
2 conv + 1 fully,1024,8,128,-7,4,0.23438,0.10156,0.09375,1160,0.108282051
2 conv + 1 fully,1024,8,256,-7,5,0.08594,0.10156,0.109375,1288,0.110557692
2 conv + 1 fully,1024,8,512,-7,6,0.15625,0.17188,0.113281,1544,0.108596154
2 conv + 1 fully,1024,8,1024,-7,7,0.13281,0.125,0.078125,2056,0.111147436
2 conv + 1 fully,1024,16,2,-6,-3,0.04688,0.07812,0.136719,1042,0.113198718
2 conv + 1 fully,1024,16,4,-6,-2,0.07031,0.09375,0.132812,1044,0.111634615
2 conv + 1 fully,1024,16,8,-6,-1,0.07812,0.10156,0.136719,1048,0.111455128
2 conv + 1 fully,1024,16,16,-6,0,0.04688,0.07812,0.105469,1056,0.111775641
2 conv + 1 fully,1024,16,32,-6,1,0.14844,0.0625,0.136719,1072,0.11125641
2 conv + 1 fully,1024,16,64,-6,2,0.05469,0.05469,0.136719,1104,0.113128205
2 conv + 1 fully,1024,16,128,-6,3,0.13281,0.04688,0.109375,1168,0.111288462
2 conv + 1 fully,1024,16,256,-6,4,0.07812,0.08594,0.136719,1296,0.113269231
2 conv + 1 fully,1024,16,512,-6,5,0.21094,0.11719,0.0898438,1552,0.11150641
2 conv + 1 fully,1024,16,1024,-6,6,0.26562,0.07812,0.136719,2064,0.11375
2 conv + 1 fully,1024,32,2,-5,-4,0.04688,0.10938,0.0742188,1058,0.125076923
2 conv + 1 fully,1024,32,4,-5,-3,0.09375,0.10938,0.109375,1060,0.123429487
2 conv + 1 fully,1024,32,8,-5,-2,0.1875,0.07031,0.136719,1064,0.123384615
2 conv + 1 fully,1024,32,16,-5,-1,0.125,0.125,0.136719,1072,0.123397436
2 conv + 1 fully,1024,32,32,-5,0,0.0625,0.11719,0.140625,1088,0.123320513
2 conv + 1 fully,1024,32,64,-5,1,0.21094,0.125,0.121094,1120,0.125083333
2 conv + 1 fully,1024,32,128,-5,2,0.17188,0.09375,0.0585938,1184,0.123371795
2 conv + 1 fully,1024,32,256,-5,3,0.24219,0.13281,0.125,1312,0.125705128
2 conv + 1 fully,1024,32,512,-5,4,0.30469,0.07812,0.136719,1568,0.123839744
2 conv + 1 fully,1024,32,1024,-5,5,0.41406,0.75781,0.078125,2080,0.126410256
2 conv + 1 fully,1024,64,2,-4,-5,0.11719,0.125,0.136719,1090,0.144660256
2 conv + 1 fully,1024,64,4,-4,-4,0.09375,0.08594,0.136719,1092,0.142826923
2 conv + 1 fully,1024,64,8,-4,-3,0.07812,0.11719,0.136719,1096,0.142807692
2 conv + 1 fully,1024,64,16,-4,-2,0.07812,0.11719,0.0742188,1104,0.142711538
2 conv + 1 fully,1024,64,32,-4,-1,0.14844,0.10156,0.0859375,1120,0.142871795
2 conv + 1 fully,1024,64,64,-4,0,0.35938,0.10938,0.0585938,1152,0.144807692
2 conv + 1 fully,1024,64,128,-4,1,0.25781,0.07812,0.15625,1216,0.143461538
2 conv + 1 fully,1024,64,256,-4,2,0.28906,0.94531,0.925781,1344,0.14524359
2 conv + 1 fully,1024,64,512,-4,3,0.4375,0.97656,0.976562,1600,0.143615385
2 conv + 1 fully,1024,64,1024,-4,4,0.35156,0.95312,0.960938,2112,0.146525641
2 conv + 1 fully,1024,128,2,-3,-6,0.07812,0.05469,0.0898438,1154,0.194442308
2 conv + 1 fully,1024,128,4,-3,-5,0.09375,0.11719,0.0859375,1156,0.192288462
2 conv + 1 fully,1024,128,8,-3,-4,0.10938,0.14062,0.101562,1160,0.192448718
2 conv + 1 fully,1024,128,16,-3,-3,0.17188,0.09375,0.136719,1168,0.192217949
2 conv + 1 fully,1024,128,32,-3,-2,0.15625,0.0625,0.0585938,1184,0.191807692
2 conv + 1 fully,1024,128,64,-3,-1,0.29688,0.10938,0.136719,1216,0.194621795
2 conv + 1 fully,1024,128,128,-3,0,0.4375,0.09375,0.128906,1280,0.192916667
2 conv + 1 fully,1024,128,256,-3,1,0.34375,0.85156,0.242188,1408,0.196019231
2 conv + 1 fully,1024,128,512,-3,2,0.39844,0.96094,0.972656,1664,0.195108974
2 conv + 1 fully,1024,128,1024,-3,3,0.375,0.97656,0.984375,2176,0.198576923
2 conv + 1 fully,1024,256,2,-2,-7,0.13281,0.14062,0.136719,1282,0.261544872
2 conv + 1 fully,1024,256,4,-2,-6,0.07031,0.10938,0.0742188,1284,0.260666667
2 conv + 1 fully,1024,256,8,-2,-5,0.09375,0.07812,0.136719,1288,0.260833333
2 conv + 1 fully,1024,256,16,-2,-4,0.10156,0.10156,0.09375,1296,0.269884615
2 conv + 1 fully,1024,256,32,-2,-3,0.17969,0.09375,0.0898438,1312,0.265839744
2 conv + 1 fully,1024,256,64,-2,-2,0.25,0.10156,0.117188,1344,0.272730769
2 conv + 1 fully,1024,256,128,-2,-1,0.48438,0.15625,0.113281,1408,0.270032051
2 conv + 1 fully,1024,256,256,-2,0,0.51562,0.25,0.152344,1536,0.265416667
2 conv + 1 fully,1024,256,512,-2,1,0.58594,0.95312,0.960938,1792,0.264570513
2 conv + 1 fully,1024,256,1024,-2,2,0.60156,1,0.992188,2304,0.270173077
2 conv + 1 fully,1024,512,2,-1,-8,0.11719,0.10156,0.0546875,1538,0.558455128
2 conv + 1 fully,1024,512,4,-1,-7,0.04688,0.10938,0.09375,1540,0.556916667
2 conv + 1 fully,1024,512,8,-1,-6,0.125,0.09375,0.0742188,1544,0.556929487
2 conv + 1 fully,1024,512,16,-1,-5,0.0625,0.07812,0.136719,1552,0.58625
2 conv + 1 fully,1024,512,32,-1,-4,0.22656,0.0625,0.109375,1568,0.585564103
2 conv + 1 fully,1024,512,64,-1,-3,0.46875,0.125,0.121094,1600,0.614410256
2 conv + 1 fully,1024,512,128,-1,-2,0.47656,0.16406,0.160156,1664,0.613814103
2 conv + 1 fully,1024,512,256,-1,-1,0.60938,0.23438,0.144531,1792,0.645179487
2 conv + 1 fully,1024,512,512,-1,0,0.63281,0.94531,0.597656,2048,0.647608974
2 conv + 1 fully,1024,512,1024,-1,1,0.72656,0.99219,0.976562,2560,0.636365385
2 conv + 1 fully,1024,1024,2,0,-9,0.10938,0.0625,0.101562,2050,1.138974359
2 conv + 1 fully,1024,1024,4,0,-8,0.07812,0.09375,0.09375,2052,1.138397436
2 conv + 1 fully,1024,1024,8,0,-7,0.11719,0.0625,0.109375,2056,1.1375
2 conv + 1 fully,1024,1024,16,0,-6,0.09375,0.05469,0.136719,2064,1.13775641
2 conv + 1 fully,1024,1024,32,0,-5,0.07812,0.08594,0.09375,2080,1.144679487
2 conv + 1 fully,1024,1024,64,0,-4,0.48438,0.17188,0.0976562,2112,1.146410256
2 conv + 1 fully,1024,1024,128,0,-3,0.59375,0.08594,0.109375,2176,1.145961538
2 conv + 1 fully,1024,1024,256,0,-2,0.58594,0.08594,0.136719,2304,1.149166667
2 conv + 1 fully,1024,1024,512,0,-1,0.48438,0.36719,0.140625,2560,1.156923077
2 conv + 1 fully,1024,1024,1024,0,0,NA,NA,NA,3072,NA
